"Date","Video Views","Profile Views","Likes","Comments","Shares","Unique Viewers"
"2024-01-14","0","0","0","0","0","0"
"2024-01-15","0","0","0","0","0","0"
"2024-01-16","0","0","0","0","0","0"
"2024-01-17","0","0","0","0","0","0"
"2024-01-18","0","0","0","0","0","0"
"2024-01-19","0","0","0","0","0","0"
"2024-01-20","0","0","0","0","0","0"
"2024-01-21","0","0","0","0","0","0"
"2024-01-22","0","0","0","0","0","0"
"2024-01-23","214","6","4","1","1","148"
"2024-01-24","61","2","0","0","0","46"
"2024-01-25","44","3","2","1","0","30"
"2024-01-26","37","0","1","0","0","30"
"2024-01-27","40","0","0","0","0","31"
"2024-01-28","73","5","0","0","0","58"
"2024-01-29","8","0","0","0","0","5"
"2024-01-30","33755","95","952","25","1","30764"
"2024-01-31","80157","221","2528","63","156","73184"
"2024-02-01","2989","15","88","5","4","2651"
"2024-02-02","1547","6","57","10","8","1381"
"2024-02-03","512","4","10","0","2","441"
"2024-02-04","15176","43","591","11","0","13636"
"2024-02-05","108980","312","3089","60","60","94480"
"2024-02-06","22598","77","455","20","9","19548"
"2024-02-07","14202","35","168","5","4","12580"
"2024-02-08","180600","425","6478","663","3","162783"
"2024-02-09","163726","432","10285","702","1794","146551"
"2024-02-10","15166","57","880","54","160","13435"